Year,Cause of Death,State,Deaths
1999,Alzheimer's disease (G30),Colorado,924
1999,Alzheimer's disease (G30),Connecticut,622
1999,Alzheimer's disease (G30),Delaware,140
1999,Alzheimer's disease (G30),District of Columbia,24
1999,Alzheimer's disease (G30),Florida,4036
1999,Alzheimer's disease (G30),Georgia,1192
1999,Alzheimer's disease (G30),Hawaii,73
1999,Alzheimer's disease (G30),Idaho,309
1999,Alzheimer's disease (G30),Illinois,2479
1999,Alzheimer's disease (G30),Indiana,1394
1999,Alzheimer's disease (G30),Iowa,900
1999,Alzheimer's disease (G30),Kansas,664
1999,Alzheimer's disease (G30),Kentucky,904
1999,Alzheimer's disease (G30),Louisiana,753
1999,Alzheimer's disease (G30),Maine,513
1999,Alzheimer's disease (G30),Maryland,842
1999,Alzheimer's disease (G30),Massachusetts,1568
1999,Alzheimer's disease (G30),Michigan,1871
1999,Alzheimer's disease (G30),Minnesota,1480
1999,Alzheimer's disease (G30),Mississippi,399
1999,Alzheimer's disease (G30),Missouri,1187
1999,Alzheimer's disease (G30),Montana,259
1999,Alzheimer's disease (G30),Nebraska,446
1999,Alzheimer's disease (G30),Nevada,232
1999,Alzheimer's disease (G30),New Hampshire,329
1999,Alzheimer's disease (G30),New Jersey,1402
1999,Alzheimer's disease (G30),New Mexico,321
1999,Alzheimer's disease (G30),New York,1906
1999,Alzheimer's disease (G30),North Carolina,1619
1999,Alzheimer's disease (G30),North Dakota,205
1999,Alzheimer's disease (G30),Ohio,2597
1999,Alzheimer's disease (G30),Oklahoma,702
1999,Alzheimer's disease (G30),Oregon,1116
1999,Alzheimer's disease (G30),Pennsylvania,2853
1999,Alzheimer's disease (G30),Rhode Island,267
1999,Alzheimer's disease (G30),South Carolina,743
1999,Alzheimer's disease (G30),South Dakota,194
1999,Alzheimer's disease (G30),Tennessee,1087
1999,Alzheimer's disease (G30),Texas,3569
1999,Alzheimer's disease (G30),Utah,354
1999,Alzheimer's disease (G30),Vermont,178
1999,Alzheimer's disease (G30),Virginia,1135
1999,Alzheimer's disease (G30),Washington,1956
1999,Alzheimer's disease (G30),West Virginia,401
1999,Alzheimer's disease (G30),Wisconsin,1501
1999,Alzheimer's disease (G30),Wyoming,125
1999,Anemias (D50-D64),Alabama,60
1999,Anemias (D50-D64),Arizona,41
1999,Anemias (D50-D64),Arkansas,44
1999,Anemias (D50-D64),California,223
1999,Anemias (D50-D64),Colorado,45
1999,Anemias (D50-D64),Connecticut,49
1999,Anemias (D50-D64),Florida,223
1999,Anemias (D50-D64),Georgia,62
1999,Anemias (D50-D64),Idaho,15
1999,Anemias (D50-D64),Illinois,189
1999,Anemias (D50-D64),Indiana,107
1999,Anemias (D50-D64),Iowa,37
1999,Anemias (D50-D64),Kansas,74
1999,Anemias (D50-D64),Kentucky,68
1999,Anemias (D50-D64),Louisiana,49
1999,Anemias (D50-D64),Maine,26
1999,Anemias (D50-D64),Maryland,54
1999,Anemias (D50-D64),Massachusetts,115
1999,Anemias (D50-D64),Michigan,162
1999,Anemias (D50-D64),Minnesota,82
1999,Anemias (D50-D64),Mississippi,21
1999,Anemias (D50-D64),Missouri,93
1999,Anemias (D50-D64),Nebraska,30
1999,Anemias (D50-D64),Nevada,23
1999,Anemias (D50-D64),New Hampshire,10
1999,Anemias (D50-D64),New Jersey,137
1999,Anemias (D50-D64),New Mexico,12
1999,Anemias (D50-D64),New York,164
1999,Anemias (D50-D64),North Carolina,78
1999,Anemias (D50-D64),North Dakota,10
1999,Anemias (D50-D64),Ohio,181
1999,Anemias (D50-D64),Oklahoma,45
1999,Anemias (D50-D64),Oregon,51
1999,Anemias (D50-D64),Pennsylvania,218
1999,Anemias (D50-D64),Rhode Island,13
1999,Anemias (D50-D64),South Carolina,42
1999,Anemias (D50-D64),South Dakota,13
1999,Anemias (D50-D64),Tennessee,73
1999,Anemias (D50-D64),Texas,177
1999,Anemias (D50-D64),Utah,18
1999,Anemias (D50-D64),Virginia,72
1999,Anemias (D50-D64),Washington,42
1999,Anemias (D50-D64),West Virginia,36
1999,Anemias (D50-D64),Wisconsin,74
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Alabama,360
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Alaska,32
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Arizona,740
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Arkansas,180
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",California,2788
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Colorado,304
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Connecticut,140
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Delaware,21
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",District of Columbia,10
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Florida,1136
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Georgia,460
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Idaho,60
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Illinois,714
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Indiana,372
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Iowa,80
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Kansas,180
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Kentucky,298
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Louisiana,248
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Maine,46
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Maryland,178
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Massachusetts,178
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Michigan,458
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Minnesota,154
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Mississippi,178
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Missouri,308
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Montana,52
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Nebraska,78
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Nevada,232
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",New Hampshire,33
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",New Jersey,266
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",New Mexico,288
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",New York,936
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",North Carolina,570
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",North Dakota,11
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Ohio,440
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Oklahoma,282
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Oregon,178
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Pennsylvania,566
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Rhode Island,48
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",South Carolina,254
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",South Dakota,11
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Tennessee,404
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Texas,1854
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Utah,94
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Vermont,15
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Virginia,318
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Washington,258
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",West Virginia,168
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Wisconsin,188
1999,Cerebrovascular diseases (I60-I69),Alabama,3930
1999,Cerebrovascular diseases (I60-I69),Alaska,240
1999,Cerebrovascular diseases (I60-I69),Arizona,5395
1999,Cerebrovascular diseases (I60-I69),Arkansas,2981
1999,Cerebrovascular diseases (I60-I69),California,30151
1999,Cerebrovascular diseases (I60-I69),Colorado,3606
1999,Cerebrovascular diseases (I60-I69),Connecticut,3936
1999,Cerebrovascular diseases (I60-I69),Delaware,799
1999,Cerebrovascular diseases (I60-I69),District of Columbia,214
1999,Cerebrovascular diseases (I60-I69),Florida,19716
1999,Cerebrovascular diseases (I60-I69),Georgia,5782
1999,Cerebrovascular diseases (I60-I69),Hawaii,335
1999,Cerebrovascular diseases (I60-I69),Idaho,1230
1999,Cerebrovascular diseases (I60-I69),Illinois,12121
1999,Cerebrovascular diseases (I60-I69),Indiana,6326
1999,Cerebrovascular diseases (I60-I69),Iowa,4814
1999,Cerebrovascular diseases (I60-I69),Kansas,3195
1999,Cerebrovascular diseases (I60-I69),Kentucky,4405
1999,Cerebrovascular diseases (I60-I69),Louisiana,4108
1999,Cerebrovascular diseases (I60-I69),Maine,1654
1999,Cerebrovascular diseases (I60-I69),Maryland,4961
1999,Cerebrovascular diseases (I60-I69),Massachusetts,6295
1999,Cerebrovascular diseases (I60-I69),Michigan,10669
1999,Cerebrovascular diseases (I60-I69),Minnesota,5133
1999,Cerebrovascular diseases (I60-I69),Mississippi,2603
1999,Cerebrovascular diseases (I60-I69),Missouri,6048
1999,Cerebrovascular diseases (I60-I69),Montana,994
1999,Cerebrovascular diseases (I60-I69),Nebraska,1976
1999,Cerebrovascular diseases (I60-I69),Nevada,2014
1999,Cerebrovascular diseases (I60-I69),New Hampshire,1464
1999,Cerebrovascular diseases (I60-I69),New Jersey,7576
1999,Cerebrovascular diseases (I60-I69),New Mexico,2011
1999,Cerebrovascular diseases (I60-I69),New York,15182
1999,Cerebrovascular diseases (I60-I69),North Carolina,7408
1999,Cerebrovascular diseases (I60-I69),North Dakota,881
1999,Cerebrovascular diseases (I60-I69),Ohio,12119
1999,Cerebrovascular diseases (I60-I69),Oklahoma,4507
1999,Cerebrovascular diseases (I60-I69),Oregon,4347
1999,Cerebrovascular diseases (I60-I69),Pennsylvania,15843
1999,Cerebrovascular diseases (I60-I69),Rhode Island,1363
1999,Cerebrovascular diseases (I60-I69),South Carolina,3396
1999,Cerebrovascular diseases (I60-I69),South Dakota,874
1999,Cerebrovascular diseases (I60-I69),Tennessee,6604
1999,Cerebrovascular diseases (I60-I69),Texas,17297
1999,Cerebrovascular diseases (I60-I69),Utah,1381
1999,Cerebrovascular diseases (I60-I69),Vermont,732
1999,Cerebrovascular diseases (I60-I69),Virginia,5548
1999,Cerebrovascular diseases (I60-I69),Washington,6889
1999,Cerebrovascular diseases (I60-I69),West Virginia,2646
1999,Cerebrovascular diseases (I60-I69),Wisconsin,6111
1999,Cerebrovascular diseases (I60-I69),Wyoming,467
1999,"Certain other intestinal infections (A04,A07-A09)",Alabama,11
1999,"Certain other intestinal infections (A04,A07-A09)",California,104
1999,"Certain other intestinal infections (A04,A07-A09)",Colorado,12
1999,"Certain other intestinal infections (A04,A07-A09)",Connecticut,20
1999,"Certain other intestinal infections (A04,A07-A09)",Florida,44
1999,"Certain other intestinal infections (A04,A07-A09)",Illinois,39
1999,"Certain other intestinal infections (A04,A07-A09)",Indiana,22
1999,"Certain other intestinal infections (A04,A07-A09)",Iowa,10
1999,"Certain other intestinal infections (A04,A07-A09)",Kentucky,12
1999,"Certain other intestinal infections (A04,A07-A09)",Maryland,28
1999,"Certain other intestinal infections (A04,A07-A09)",Massachusetts,54
1999,"Certain other intestinal infections (A04,A07-A09)",Michigan,27
1999,"Certain other intestinal infections (A04,A07-A09)",Minnesota,17
1999,"Certain other intestinal infections (A04,A07-A09)",Missouri,30
1999,"Certain other intestinal infections (A04,A07-A09)",New Jersey,53
1999,"Certain other intestinal infections (A04,A07-A09)",New York,57
1999,"Certain other intestinal infections (A04,A07-A09)",North Carolina,23
1999,"Certain other intestinal infections (A04,A07-A09)",Ohio,118
1999,"Certain other intestinal infections (A04,A07-A09)",Oregon,19
1999,"Certain other intestinal infections (A04,A07-A09)",Pennsylvania,98
1999,"Certain other intestinal infections (A04,A07-A09)",Tennessee,12
1999,"Certain other intestinal infections (A04,A07-A09)",Texas,37
1999,"Certain other intestinal infections (A04,A07-A09)",Virginia,14
1999,"Certain other intestinal infections (A04,A07-A09)",Washington,29
1999,"Certain other intestinal infections (A04,A07-A09)",Wisconsin,19
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Alabama,37
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Arizona,35
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Arkansas,17
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),California,276
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Colorado,37
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Connecticut,29
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Florida,154
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Georgia,62
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Idaho,11
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Illinois,95
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Indiana,43
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Iowa,38
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Kansas,20
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Kentucky,46
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Louisiana,39
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Maine,18
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Maryland,29
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Massachusetts,65
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Michigan,88
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Minnesota,42
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Mississippi,14
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Missouri,60
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Nebraska,22
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),New Hampshire,21
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),New Jersey,86
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),New Mexico,24
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),New York,132
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),North Carolina,87
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Ohio,97
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Oklahoma,31
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Oregon,37
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Pennsylvania,93
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Rhode Island,23
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),South Carolina,30
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),South Dakota,10
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Tennessee,67
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Texas,204
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Utah,24
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Virginia,32
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Washington,50
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),West Virginia,39
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Wisconsin,71
1999,Chronic liver disease (K35-K74),Alabama,740
1999,Chronic liver disease (K35-K74),Alaska,56
1999,Chronic liver disease (K35-K74),Arizona,1186
1999,Chronic liver disease (K35-K74),Arkansas,439
1999,Chronic liver disease (K35-K74),California,7152
1999,Chronic liver disease (K35-K74),Colorado,804
1999,Chronic liver disease (K35-K74),Connecticut,616
1999,Chronic liver disease (K35-K74),Delaware,118
1999,Chronic liver disease (K35-K74),District of Columbia,15
1999,Chronic liver disease (K35-K74),Florida,3915
1999,Chronic liver disease (K35-K74),Georgia,1080
1999,Chronic liver disease (K35-K74),Hawaii,74
1999,Chronic liver disease (K35-K74),Idaho,186
1999,Chronic liver disease (K35-K74),Illinois,2055
1999,Chronic liver disease (K35-K74),Indiana,927
1999,Chronic liver disease (K35-K74),Iowa,494
1999,Chronic liver disease (K35-K74),Kansas,431
1999,Chronic liver disease (K35-K74),Kentucky,781
1999,Chronic liver disease (K35-K74),Louisiana,613
1999,Chronic liver disease (K35-K74),Maine,290
1999,Chronic liver disease (K35-K74),Maryland,746
1999,Chronic liver disease (K35-K74),Massachusetts,1233
1999,Chronic liver disease (K35-K74),Michigan,1803
1999,Chronic liver disease (K35-K74),Minnesota,671
1999,Chronic liver disease (K35-K74),Mississippi,391
1999,Chronic liver disease (K35-K74),Missouri,885
1999,Chronic liver disease (K35-K74),Montana,162
1999,Chronic liver disease (K35-K74),Nebraska,265
1999,Chronic liver disease (K35-K74),Nevada,541
1999,Chronic liver disease (K35-K74),New Hampshire,201
1999,Chronic liver disease (K35-K74),New Jersey,1517
1999,Chronic liver disease (K35-K74),New Mexico,493
1999,Chronic liver disease (K35-K74),New York,2850
1999,Chronic liver disease (K35-K74),North Carolina,1242
1999,Chronic liver disease (K35-K74),North Dakota,98
1999,Chronic liver disease (K35-K74),Ohio,2002
1999,Chronic liver disease (K35-K74),Oklahoma,668
1999,Chronic liver disease (K35-K74),Oregon,672
1999,Chronic liver disease (K35-K74),Pennsylvania,2103
1999,Chronic liver disease (K35-K74),Rhode Island,245
1999,Chronic liver disease (K35-K74),South Carolina,693
1999,Chronic liver disease (K35-K74),South Dakota,90
1999,Chronic liver disease (K35-K74),Tennessee,1102
1999,Chronic liver disease (K35-K74),Texas,4142
1999,Chronic liver disease (K35-K74),Utah,279
1999,Chronic liver disease (K35-K74),Vermont,114
1999,Chronic liver disease (K35-K74),Virginia,933
1999,Chronic liver disease (K35-K74),Washington,1104
1999,Chronic liver disease (K35-K74),West Virginia,451
1999,Chronic liver disease (K35-K74),Wisconsin,880
1999,Chronic liver disease (K35-K74),Wyoming,90
1999,Chronic lower respiratory diseases (J40-J47),Alabama,3894
1999,Chronic lower respiratory diseases (J40-J47),Alaska,216
1999,Chronic lower respiratory diseases (J40-J47),Arizona,4964
1999,Chronic lower respiratory diseases (J40-J47),Arkansas,2560
1999,Chronic lower respiratory diseases (J40-J47),California,23644
1999,Chronic lower respiratory diseases (J40-J47),Colorado,3692
1999,Chronic lower respiratory diseases (J40-J47),Connecticut,2758
1999,Chronic lower respiratory diseases (J40-J47),Delaware,580
1999,Chronic lower respiratory diseases (J40-J47),District of Columbia,91
1999,Chronic lower respiratory diseases (J40-J47),Florida,17258
1999,Chronic lower respiratory diseases (J40-J47),Georgia,5258
1999,Chronic lower respiratory diseases (J40-J47),Hawaii,213
1999,Chronic lower respiratory diseases (J40-J47),Idaho,1124
1999,Chronic lower respiratory diseases (J40-J47),Illinois,9212
1999,Chronic lower respiratory diseases (J40-J47),Indiana,5796
1999,Chronic lower respiratory diseases (J40-J47),Iowa,3256
1999,Chronic lower respiratory diseases (J40-J47),Kansas,2668
1999,Chronic lower respiratory diseases (J40-J47),Kentucky,4436
1999,Chronic lower respiratory diseases (J40-J47),Louisiana,2624
1999,Chronic lower respiratory diseases (J40-J47),Maine,1487
1999,Chronic lower respiratory diseases (J40-J47),Maryland,3348
1999,Chronic lower respiratory diseases (J40-J47),Massachusetts,5604
1999,Chronic lower respiratory diseases (J40-J47),Michigan,7834
1999,Chronic lower respiratory diseases (J40-J47),Minnesota,3902
1999,Chronic lower respiratory diseases (J40-J47),Mississippi,2072
1999,Chronic lower respiratory diseases (J40-J47),Missouri,5806
1999,Chronic lower respiratory diseases (J40-J47),Montana,1088
1999,Chronic lower respiratory diseases (J40-J47),Nebraska,1844
1999,Chronic lower respiratory diseases (J40-J47),Nevada,1958
1999,Chronic lower respiratory diseases (J40-J47),New Hampshire,1172
1999,Chronic lower respiratory diseases (J40-J47),New Jersey,5654
1999,Chronic lower respiratory diseases (J40-J47),New Mexico,1655
1999,Chronic lower respiratory diseases (J40-J47),New York,12866
1999,Chronic lower respiratory diseases (J40-J47),North Carolina,6304
1999,Chronic lower respiratory diseases (J40-J47),North Dakota,527
1999,Chronic lower respiratory diseases (J40-J47),Ohio,10942
1999,Chronic lower respiratory diseases (J40-J47),Oklahoma,3275
1999,Chronic lower respiratory diseases (J40-J47),Oregon,3476
1999,Chronic lower respiratory diseases (J40-J47),Pennsylvania,11582
1999,Chronic lower respiratory diseases (J40-J47),Rhode Island,964
1999,Chronic lower respiratory diseases (J40-J47),South Carolina,3002
1999,Chronic lower respiratory diseases (J40-J47),South Dakota,642
1999,Chronic lower respiratory diseases (J40-J47),Tennessee,5044
1999,Chronic lower respiratory diseases (J40-J47),Texas,13980
1999,Chronic lower respiratory diseases (J40-J47),Utah,1094
1999,Chronic lower respiratory diseases (J40-J47),Vermont,587
1999,Chronic lower respiratory diseases (J40-J47),Virginia,4760
1999,Chronic lower respiratory diseases (J40-J47),Washington,5190
1999,Chronic lower respiratory diseases (J40-J47),West Virginia,2416
1999,Chronic lower respiratory diseases (J40-J47),Wisconsin,4380
1999,Chronic lower respiratory diseases (J40-J47),Wyoming,669
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",Alabama,40
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",Arizona,41
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",Arkansas,36
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",California,110
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",Colorado,41
